Account Number,Job Reference,Job Name,Job Status
1STI1000,83,'Galleria',Open
1STI1000,84,'1100 SE Westbrooke Drive - Shop/Warehouse',Open
1STI1000,85,'Toy Store',Open
1STI1000,86,'Younkers',Open
1STI1000,87,'34876',Open
1STI1000,88,'2801 Grand Avenue - North Grand Mall - Building E',Open
1STI1000,89,'Ingersol Square',Open
1STI1000,90,'12181 NE University - Waste Management',Open
1STI1000,91,'3714 Merle Hay Road',Open
1STI1000,92,'2700 100th Street',Open
1STI1000,93,'shop - Jeff Dunn',Open
1STI1000,94,'4301 NW Urbandale Drive - Iowa Clinc',Open
1STI1000,95,'2822 6th Avenue - Bell Bros Heat/Cooling',Open
1STI1000,96,'Homemakers - Will Call',Open
1STI1000,97,'Casey''s  In Leon',Open
1STI1000,98,'1834 SW White Birch Circle - Vet Clinic- Ankeny',Open
1STI1000,99,'Will---Call When In 202-3107',Open
1STI1000,100,'Pella Job',Open
1STI1000,101,'Albia',Open
1STI1000,102,'Jeff''s House',Open
1STI1000,103,'Mitchellville',Open
1STI1000,104,'Clark Co. Hospital',Open
1STI1000,105,'Wolin',Open
1STI1000,106,'Eldora',Open
1STI1000,107,'St.Marks Church',Open
1STI1000,108,'Brick',Open
1STI1000,109,'Regis',Open
1STI1000,110,'Will Call',Open
1STI1000,111,'Panora',Open
1STI1000,112,'Paradise Point',Open
1STI1000,113,'210 Grand',Open
1STI1000,114,'Mary Greely',Open
1STI1000,115,'Casey''s Corp - #1 Convienance Blvd',Open
1STI1000,116,'LGI',Open
1STI1000,117,'Karl',Open
1STI1000,118,'713 Walnut Street - Younkers Downtown Parking Ramp',Open
1STI1000,119,'227 South 83rd Street',Open
1STI1000,120,'308 Elm Avenue - Mitchellville Elementary',Open
1STI1000,121,'Mercy North Dental',Open
1STI1000,122,'2110 Lincoln Way',Open
1STI1000,123,'Frat House Ames',Open
1STI1000,124,'Kelly Reams Job',Open
1STI1000,125,'2105 South Ankeny Boulevard  - Car X',Open
1STI1000,126,'Brick Job',Open
1STI1000,127,'13731 Hickman Road - Deerfield',Open
1STI1000,128,'4965 Hubbell Avenue',Open
1STI1000,129,'Williams Point',Open
1STI1000,130,'Kum N Go East Des Moines',Open
1STI1000,131,'Frat House - Phi Theta Kappa',Open
1STI1000,132,'Sun Tan City',Open
1STI1000,133,'520 NW 36th Street - Lutheran Church',Open
1STI1000,134,'9000 Northpark Drive - Delta Dental',Open
1STI1000,135,'3E Warehouse',Open
1STI1000,136,'Lincoln Bank',Open
1STI1000,137,'MidAmerican',Open
1STI1000,138,'Holiday Inn Downtown',Open
1STI1000,139,'5000 Park Avenue - Stroh Corporation',Open
1STI1000,140,'Police Station Des Moines',Open
1STI1000,141,'Rick Balls',Open
1STI1000,142,'1102 NW Weigel Drive - Church Of St Luke',Open
1STI1000,143,'Quik Trip',Open
1STI1000,144,'Iowa Donor',Open
1STI1000,145,'Y.M.C.A. Des Moines',Open
1STI1000,146,'Ball',Open
1STI1000,147,'1239 Frontier Road - Ball''s Sun Valley Lake',Open
1STI1000,148,'Wolin Job',Open
1STI1000,149,'Will Call',Open
1STI1000,150,'508 West Highway 30 - Jefferson Casino',Open
1STI1000,151,'Marshalltown Job',Open
1STI1000,152,'9500 University Avenue - Hawthorne Center',Open
1STI1000,153,'300 MLK Parkway - Phase II',Open
1STI1000,154,'Zombie Burger',Open
1STI1000,155,'1420 Locust',Open
1STI1000,156,'Kantecho',Open
1STI1000,157,'5508 NW 88th Street',Open
1STI1000,158,'Joy Ride - Will Call',Open
1STI1000,159,'Wesly Network',Open
1STI1000,160,'20142 Xaiver Avenue',Open
1STI1000,161,'440 South 68th Street - Paradise Point',Open
1STI1000,162,'5355 NW 86th Street - Good Will',Open
1STI1000,163,'District 2',Open
1STI1000,164,'Kantecho',Open
1STI1000,165,'645 NE Dartmore Drive - Waukee Elementary',Open
1STI1000,166,'1425 SW Vintage Parkway - District 2',Open
1STI1000,167,'Alpha Phi',Open
1STI1000,168,'2929 99th',Open
1STI1000,169,'3230 Dixon',Open
1STI1000,170,'10800 Meredith Drive',Open
1STI1000,171,'Hubbell Apartments',Open
1STI1000,172,'Kem Job',Open
1STI1000,173,'4400 Beisser Drive',Open
1STI1000,174,'Liberty Ready Mix',Open
1STI1000,175,'1500 NW 86th Street - Jimmy John''s',Open
1STI1000,176,'General Purchases - Aspen Dental',Open
1STI1000,177,'307 Ash Avenue',Open
1STI1000,178,'SJAFB',Open
1STI1000,179,'South Creek Mills Civic',Open
1STI1000,180,'Jimmy Johns',Open
1STI1000,181,'1089 South Jordan Creek Pkwy - United Health Care',Open
1STI1000,182,'Strattford Commons',Open
1STI1000,183,'10215 Douglas Avenue - HomeMakers',Open
1STI1000,184,'Right Tree Service',Open
1STI1000,185,'Urban Eye Care',Open
1STI1000,186,'300 MLK',Open
1STI1000,187,'605 SW 37th Street - Eagle Sign',Open
1STI1000,188,'Iowa Ortho',Open
1STI1000,189,'9550 Hickman Road',Open
1STI1000,190,'Decorah',Open
1STI1000,191,'MicroSoft',Open
1STI1000,192,'Younkers',Open
1STI1000,193,'510 East Locust',Open
1STI1000,194,'Wilkins',Open
1STI1000,195,'Gookin Ford',Open
1STI1000,196,'400 East Court',Open
1STI1000,197,'10668 Justin Drive',Open
1STI1000,198,'Mike McCree & Holcomb',Open
1STI1000,199,'510 East Locust',Open
1STI1000,200,'510 East Locust Street - Suite 104',Open
1STI1000,201,'Sign',Open
1STI1000,202,'1910 1st Avenue East',Open
1STI1000,203,'2900 1st Avenue East',Open
1STI1000,204,'1025 Ashworth Road',Open
1STI1000,205,'Homemakers',Open
1STI1000,206,'Chevy Dealer - Norwalk',Open
1STI1000,207,'ISG',Open
1STI1000,208,'Business Solvers',Open
1STI1000,209,'National Pork Producers',Open
1STI1000,210,'405 SW 5th Street',Open
1STI1000,211,'13631 Bayhill',Open
1STI1000,212,'Fryley Hall ISU',Open
1STI1000,213,'Chipotle ',Open
1STI1000,214,'206 SW Walnut Street - Ankeny First United Methodist',Open
1STI1000,215,'Wellcare',Open
1STI1000,216,'Fed-Ex',Open
1STI1000,217,'Jeremy--202-3107',Open
1STI1000,218,'5890 NE 22nd Street - Fed Ex Freight',Open
1STI1000,219,'47672',Open
1STI1000,220,'Ball Team Office',Open
1STI1000,221,'Ruan-2',Open
1STI1000,222,'13789  Bay Hill Court - Ball Res.',Open
1STI1000,223,'Wieller-Knoxville',Open
1STI1000,224,'2425 Hubbell Avenue - Sports Plex East',Open
1STI1000,225,'660 59th Street',Open
1STI1000,226,'Unity Point',Open
1STI1000,228,'4519 Fleur Drive',Open
1STI1000,229,'Panera',Open
1STI1000,230,'Ruan',Open
1STI1000,231,'1802 North Ankeny Blvd. - Panera',Open
1STI1000,232,'Business Solver',Open
1STI1000,233,'1404 North Ridge Circle - Data Center',Open
1STI1000,234,'712 SE 6th Street - Eagle View Lofts',Open
1STI1000,235,'Des Moines Christian',Open
1STI1000,236,'Wolin House Strow',Open
1STI1000,237,'815 Weiler Drive - Weiler Job',Open
1STI1000,238,'ISG  Phase #2 - Will Call',Open
1STI1000,239,'College Hill',Open
1STI1000,240,'1223 6th Avenue - BioMat',Open
1STI1000,241,'9421 Market Place Drive - Mercy Clinic',Open
1STI1000,242,'Central Bank',Open
1STI1000,243,'Tripplett',Open
1STI1000,244,'KRM',Open
1STI1000,245,'13007 Douglas Parkway - Des Moines Christian School',Open
1STI1000,246,'Kanteaho',Open
1STI1000,247,'Bio Mat',Open
1STI1000,248,'801 Grand',Open
1STI1000,249,'Dance Vision',Open
1STI1000,250,'Strouhaus',Open
1STI1000,251,'Lithia',Open
1STI1000,252,'921 6th Avenue - Mercy College Hill',Open
1STI1000,253,'Dance Vision',Open
1STI1000,254,'District 4',Open
1STI1000,255,'Methodist Church',Open
1STI1000,256,'Ruan 27',Open
1STI1000,257,'Audi',Open
1STI1000,258,'Iowa Catholic Radio',Open
1STI1000,259,'Airport',Open
1STI1000,260,'Galleria',Open
1STI1000,261,'4365 Merle Hay Road',Open
1STI1000,262,'Hay Market',Open
1STI1000,263,'4020 121st Street',Open
1STI1000,264,'Inspiring Dance Studio',Open
1STI1000,265,'6506 77th Lane',Open
1STI1000,266,'8711 Thomas Avenue - Dance Vision',Open
1STI1000,267,'Biomat',Open
1STI1000,268,'Lutheran Cross',Open
1STI1000,269,'Unity Point',Open
1STI1000,270,'Corner Of NE 18th St. & 66th - Ave Look For Opus Trailor ',Open
1STI1000,271,'Mercedes',Open
1STI1000,272,'Holiday Inn-Drake',Open
1STI1000,273,'Car X On Alice Road',Open
1STI1000,274,'513 Forest Avenue',Open
1STI1000,275,'1401 Campus Drive - Mercy Kindred Rehab',Open
1STI1000,276,'Johnston Middle School',Open
1STI1000,277,'85 Paine Street SE - Brick Fitness',Open
1STI1000,278,'Corp-Woods 2',Open
1STI1000,279,'Ruan 29',Open
1STI1000,280,'Cross Roads Storage',Open
1STI1000,281,'Heating & Cooling',Open
1STI1000,282,'Mercy Kindred',Open
1STI1000,283,'Fo-cus',Open
1STI1000,284,'Plaza Shops',Open
1STI1000,285,'New Horizon Academy',Open
1STI1000,286,'Tuesday Mornings - Clock Tower Square',Open
1STI1000,287,'Bankers Trust',Open
1STI1000,288,'Elanco',Open
1STI1000,289,'308 SE 17th Court',Open
1STI1000,290,'909 Locust',Open
1STI1000,291,'Cook Plumbing',Open
1STI1000,292,'Norwalk High School',Open
1STI1000,293,'1105 Washington Street - St.Paul Lutheran Church',Open
1STI1000,294,'Ryco',Open
1STI1000,295,'555 17th Street - Cresent Chevy',Open
1STI1000,296,'1816 Philadelphia Street - Iowa Heart Center',Open
1STI1000,297,'1580 SW Market Street',Open
1STI1000,298,'33 Clark',Open
1STI1000,299,'Musco',Open
1STI1000,300,'B&B Theater',Open
1STI1000,301,'Iowa Clinic',Open
1STI1000,302,'Dwola Job',Open
1STI1000,303,'IOUE',Open
1STI1000,304,'Nebraska Furniture Mart',Open
1STI1000,305,'Omaha Light Edge',Open
1STI1000,306,'Mid-America',Open
1STI1000,307,'33 Clark',Open
1STI1000,308,'1100 SE Westbrook  Drive - 1st Interiors',Open
1STI1000,309,'Iowa Pork Producers',Open
1STI1000,310,'Kantecho',Open
1STI1000,311,'15500 Hickman Road - New Nebraska Furniture Mart',Open
1STI1000,312,'Bank Iowa  R&R',Open
1STI1000,313,'206 West State Street - DHS',Open
1STI1000,314,'3001 99th Street',Open
1STI1000,315,'Mid Town Cafe',Open
1STI1000,316,"'6200 Westown Parkway - Wolfe Eye Clinic,New Bldg East'",Open
1STI1000,317,'Ames Computer Corp',Open
1STI1000,318,'7-Flags',Open
1STI1000,319,'Kenworthing---Story',Open
1STI1000,320,'2541 Highway 23 - Musco Lighting',Open
1STI1000,321,'Wasabi',Open
1STI1000,322,'Police Department',Open
1STI1000,323,'1631 SW Main Street Suite 107',Open
1STI1000,324,'RYCO',Open
1STI1000,325,'4299 NW Urbandale Drive',Open
1STI1000,326,'Norwalk HS',Open
1STI1000,327,'Lang Office',Open
1STI1000,328,'1107 11th Avenue West - Musco Lighting Addition',Open
1STI1000,329,'Business Solver',Open
1STI1000,330,'Plaza Shop',Open
1STI1000,331,'Holiday Inn',Open
1STI1000,332,'Truck Stop',Open
1STI1000,333,'Community State Bank',Open
1STI1000,334,'Clydes Diner',Open
1STI1000,335,'Business Solver',Open
1STI1000,336,'Waukee High School #2 - 560 Se University Avenue',Open
1STI1000,337,'ABC Supply',Open
1STI1000,338,'Northwest Bank',Open
1STI1000,339,'Starbucks Will Call',Open
1STI1000,340,'1005 SW Orlabor Road - NorthWest Bank',Open
1STI1000,341,'2540 104th Street - Spectrum  Lighting',Open
1STI1000,342,'Prinicpal Hanger',Open
1STI1000,343,'1204 13th Street - First Presbyterian Church',Open
1STI1000,344,'1922 Ingersol Avenue - Lincoln Savings Bank',Open
1STI1000,345,'ABC Supply',Open
1STI1000,346,'Fort Des Moines',Open
1STI1000,347,'Dallas Center Church',Open
1STI1000,348,'Edna Griffin',Open
1STI1000,349,'Mid-America - DMU',Open
1STI1000,350,'Johnston Station',Open
1STI1000,351,'Hotel Fort Des Moines',Open
1STI1000,352,'Smokey Row',Open
1STI1000,353,'Iowa Heart',Open
1STI1000,354,'Iowa Clinic Ankeny',Open
1STI1000,355,'District 3 Dumpster',Open
1STI1000,356,'Thrasher',Open
1STI1000,357,'Waukee High School',Open
1STI1000,358,'617 Franklin Street',Open
1STI1000,359,'Spectrum',Open
1STI1000,360,'Will Call - PO#64244',Open
1STI1000,361,'KRM',Open
1STI1000,362,'1200 Grand Avenue',Open
1STI1000,363,'Synergy',Open
1STI1000,364,'District #6',Open
1STI1000,365,'Ruan 25',Open
1STI1000,366,'Grand Imperial Apartments',Open
1STI1000,367,'2491 East 1st Street  - Destination',Open
1STI1000,368,'Sports Plex',Open
1STI1000,369,'PO66046',Open
1STI1000,370,'108 5th Avenue SW',Open
1STI1000,371,'950 West Martin Luther King Jr - Parkway',Open
1STI1000,372,'Riley Moving/Storage',Open
1STI1000,373,"'Gray""s Landing'",Open
1STI1000,374,'Mid Am Job',Open
1STI1000,375,'E Bank',Open
1STI1000,376,'Polk Co Sheriff',Open
1STI1000,377,'Paradox',Open
1STI1000,378,'Parigon Performance',Open
1STI1000,379,'Floor & Decor',Open
1STI1000,380,'Ruan 17th floor',Open
1STI1000,381,'Racoon Valley Bank',Open
1STI1000,382,'1400 22nd Street - Floor & Dechoar',Open
1STI1000,383,'Data Center',Open
1STI1000,384,'Johnston Station',Open
1STI1000,385,'100 East Grand',Open
1STI1000,386,'Polk County Sheriff',Open
1STI1000,387,'Kraft Brew',Open
1STI1000,388,'Timberline Stadium',Open
1STI1000,389,'Urbandale Elementary',Open
1STI1000,390,'Dental Associates',Open
1STI1000,391,'1220 SW Merchant Street - District 6--Toast Job',Open
1STI1000,392,'Court House',Open
1STI1000,393,'Mad Meatball',Open
1STI1000,394,'Karl Emer',Open
1STI1000,395,'Destination Market',Open
1STI1000,396,'Kemin #8',Open
1STI1000,397,'Erika #SP0220',Open
1STI1000,398,'Marshaltown (Troy)',Open
1STI1000,399,'DMGCC',Open
1STI1000,400,'Nilles',Open
1STI1000,401,'CTI',Open
1STI1000,402,'1001 SE 37th',Open
1STI1000,403,'Memorial Union - ISU',Open
1STI1000,404,'1001 SE 37th',Open
1STI1000,405,'KC Enginering',Open
1STI1000,406,'Lennox - Marshalltown',Open
1STI1000,407,'MBI',Open
1STI1000,408,'2410 SW White Birch Drive - The Loft',Open
1STI1000,409,'513 Main Street - Pella Market',Open
1STI1000,410,'2211 215th Road - Guthrie County Law Enforcement',Open
1STI1000,411,'2250 SW Vintage Parkway',Open
1STI1000,412,'Fieldhouse',Open
1STI1000,413,'Grand Tree',Open
1STI1000,414,'Highland Park',Open
1STI1000,415,'455 SW 5th',Open
1STI1000,416,'PO 072057',Open
1STI1000,417,'506 East 6th Street - CT-8109',Open
1STI1000,418,'3206 University Avenue - Wesley Acres Meals On Wheels',Open
1STI1000,419,'3520 Grand Avenue - Wesley Acres',Open
1STI1000,420,'3320 Westown Parkway - West Bank Headquarters',Open
1STI1000,421,'Animal Control',Open
1STI1000,422,'West Chester Church',Open
1STI1000,423,'2250 SW Vintage Parkway - West Gym',Open
1STI1000,424,'2250 SW Vintage Parkway - Diamond',Open
1STI1000,425,'DMI Job',Open
1STI1000,426,'South 25th Street - Power Center',Open
1STI1000,427,'7901 Birchwood Court',Open
1STI1000,428,'5800 Fleur Drive - Des Moines Airport',Open
1STI1000,429,'11013 Westport Drive',Open
365M1000,1,'General Purchases',Open
365M1000,2,'1940 225th Street - 22223',Open
365M1000,3,'424 Central Avenue',Open
365M1000,4,'617 South 29th Street - Shop',Open
380C1000,1,'General Purchases - Suite # B',Open
380C1000,2,'2240 9th Street',Open
380C1000,3,'4045 Topher Drive NE',Open
3ANG1000,1,'General Purchases - Suite# 293',Open
3ANG1000,2,'2909 Cleveland',Open
4GEN1000,1,'1350 East Hickman Road',Open
4GEN1000,2,'3100 Jack Pine Drive',Open
4GEN1000,3,'3124 Jack Pine Drive',Open
4GEN1000,4,'General Purchases',Open
4GEN1000,5,'3128 Jack Pine Drive',Open
4GEN1000,6,'2104 NW Prairie Creek Drive',Open
4MCO1000,1,'General Purchases',Open
4MCO1000,2,'3801 49th Street',Open
4MCO1000,3,'Mark Mathes',Open
4MCO1000,4,'606 SW 40th Street',Open
4MCO1000,5,'505 4th Avenue',Open
4MCO1000,6,'503 Centennial Drive',Open
4SIG1000,1,'General Purchases',Open
4SIG1000,2,'2312 Valley Street - Greenway',Open
4SIG1000,3,'7921 Ward Parkway',Open
4SIG1000,4,'7923 Ward Parkway',Open
4SIG1000,5,'General Purchases',Open
4SIG1000,6,'4111 Ingersoll Avenue',Open
4SIG1000,7,'430 Grand Avenue',Open
4SIG1000,8,'555 5th Street',Open
4SIG1000,9,'7620 Ward Parkway',Open
4SIG1000,10,'501 Brady Street - PO# 16AH1031',Open
4SIG1000,11,'1011 University Avenue - Corinthian Garden Apts.',Open
4SIG1000,12,'3115 Roy Key Avenue - Keystone',Open
4SIG1000,13,'421 Stonehaven Drive',Open
4SYT1000,1,'General Purchases',Open
4SYT1000,2,'110 Lake Shore Drive',Open
4SYT1000,3,'1283 Dixon',Open
4SYT1000,4,'509 24th Street',Open
4SYT1000,5,'620 5th Street',Open
4SYT1000,6,'5246 Walnut Street',Open
4SYT1000,7,'1507 Vine DC Will Call',Open
4SYT1000,8,'4815 Lakeview Drive',Open
4SYT1000,9,'628 5th Street',Open
4SYT1000,10,'1700 17th Street SE - Timperley Addition',Open
515E1000,1,'General Purchases',Open
515E1000,2,'Will Call',Open
515E1000,3,'Will Call - 25th Court',Open
515E1000,4,'4001 EP True Parkway',Open
515E1000,5,'913 29th Street',Open
515E1000,6,'726 Penrose Street',Open
515E1000,7,'2540 104th Street - Painters Shop',Open
515E1000,9,'1147 East 156th Street North - Nancy Job',Open
515E1000,10,'205 South 27th Street',Open
515E1000,11,'4038 Greenview Drive - Hansing Deck',Open
515E1000,18,'2831 SW Westview Drive',Open
515E1000,19,'931 Elm Street',Open
515E1000,20,'1709 Country Club Drive - Muckler Deck',Open
515E1000,21,'4343 Chamberlain Drive',Open
515E1000,22,'805 Twelve Oaks Court - Johhn Greving ',Open
515E1000,23,'Nichols',Open
515E1000,24,'1124 East 132nd Street North',Open
515E1000,25,'8000 Cobblestone Road',Open
515E1000,26,'Alison Best',Open
515E1000,27,'8012 Cobblestone Road',Open
515E1000,28,'8040 Cobblestone Road - John Cooper',Open
515E1000,29,'8044 Cobblestone Road - Marilyn Jackson',Open
515E1000,30,'8048 Cobblestone Road - Maggie Wilcox Option 2',Open
515E1000,31,'8013 Cobblestone Court - Jan Cooper',Open
515E1000,32,'1421 Reed Street',Open
515E1000,33,'1506 Spruce Drive',Open
515E1000,34,'2000 Spring Street ',Open
515E1000,35,'211 Front Street',Open
515E1000,36,'8081 Cobblestone Road - Dianne Matzke',Open
515E1000,37,'1111 Washington Avenue ',Open
515E1000,38,'8081 Cobblestone Road',Open
515E1000,39,'8061 Cobblestone Road',Open
515E1000,40,'8085 Cobblestone Road',Open
515E1000,41,'8053 Cobblestone Road',Open
515E1000,42,'8089 Cobblestone Road',Open
515E1000,43,'8093 Cobblestone Road',Open
515E1000,44,'8045 Cobblestone Road',Open
515E1000,45,'8089 Cobblestone Road - Sharon Smith',Open
515E1000,46,'8024 Cobblestone Road - Moser landing/steps',Open
515E1000,47,'3101 NE 2nd Lane',Open
515E1000,48,'2400 81st Circle ',Open
515E1000,49,'2412 Pine Circle',Open
515E1000,50,'2400 Pine Circle ',Open
515E1000,51,'2437 81st Circle',Open
515E1000,52,'8101 Cobblestone Drive',Open
515E1000,53,'2404 81st Circle - Julie Bowie ',Open
515E1000,54,'2408 81st Circle  - Murphy ',Open
515E1000,55,'2412 81st Circle  - Henao',Open
515E1000,56,'8065 Cobblestone Road - Jamie Corbin ',Open
515E1000,57,'8073 Cobblestone Road ',Open
515E1000,58,'8069 Cobblestone Road - David Harper',Open
515E1000,59,'1010 NE Lake View Drive',Open
515E1000,60,'701 Lost Lake Drive',Open
515E1000,61,'8101 Cobblestone Road - Daniel Hanson',Open
515E1000,62,'8105 Cobblestone Road - Sally Ouellette',Open
515E1000,63,'8117 Cobblestone Road',Open
515E1000,64,'2429 81st Circle  - Bill Boatright',Open
515E1000,65,'2425 81st Circle - Devi Schultz',Open
515E1000,66,'2421 81st Circle - James Johnson',Open
515E1000,67,'2416 81st Circle - Building 14',Open
515E1000,68,'2417 81st Circle',Open
515E1000,69,'13596 NW Madrid Drive ',Open
515E1000,70,'2405 81st Circle',Open
515E1000,71,'8100 Cobblestone Road',Open
515E1000,72,'2509 Pine Circle',Open
515E1000,73,'8112 Cobblestone Road',Open
515E1000,74,'2712 Emma Avenue - Todd Taylor',Open
515E1000,75,'2420 81st Circle - Crystal Seeley',Open
515E1000,76,'2531 Pine Circle',Open
515E1000,77,'2524 Pine Circle',Open
515E1000,78,'2413 81st Circle ',Open
515E1000,79,'2424 81st Circle',Open
515E1000,80,'2540 Pine Circle',Open
515E1000,81,'2543 Pine Circle',Open
515E1000,82,'2521 Pine Circle',Open
515E1000,83,'2513 Pine Circle - Sue Way',Open
515E1000,84,'2517 Pine Circle  - Laura Book',Open
515E1000,85,'3200 89th Street',Open
515E1000,86,'6980 Cody Drive - Unit 38',Open
515E1000,87,'2500 Pine Circle',Open
515E1000,88,'2551 Pine Circle',Open
515E1000,89,'2513 82nd Street',Open
515E1000,90,'27804 Fairground Road',Open
515E1000,91,'4404 153rd Street',Open
515E1000,92,'2516 Pine Circle',Open
515E1000,93,'8076 Cobblestone Road',Open
515E1000,94,'12903 NW 85th Avenue',Open
515E1000,95,'2560 Pine Circle',Open
515E1000,96,'2512 Pine Circle',Open
515E1000,97,'2504 82nd Street',Open
515E1000,98,'2504 Pine Circle',Open
515E1000,99,'2539 Pine Circle',Open
515E1000,100,'2535 Pine Circle ',Open
515E1000,101,'2547 Pine Circle',Open
515E1000,102,'2528 Pine Circle',Open
515E1000,103,'2532 Pine Circle',Open
515E1000,104,'2613 82nd Street',Open
515E1000,105,'2601 82nd Street',Open
515E1000,106,'2501 82nd Street',Open
515E1000,107,'2600 82nd Street',Open
515E1000,108,'2608 Reed Avenue',Open
515E1000,109,'2618 82nd Street',Open
515E1000,110,'2508 Pine Circle ',Open
515E1000,111,'229 South Sherman Avenue',Open
515E1000,112,'2644 82nd Street ',Open
515E1000,113,'2637 82nd Street',Open
515E1000,114,'2551 Pine Circle',Open
515E1000,115,'2555 Pine Circle',Open
515E1000,116,'2559 Pine Circle',Open
515E1000,117,'2548 Pine Circle',Open
515E1000,118,'7128 Cody Drive',Open
515E1000,119,'519 9th Street',Open
515E1000,120,'2563 Pine Circle',Open
515E1000,121,'3105 EP True Parkway',Open
515E1000,122,'2552 Pine Circle',Open
515E1000,123,'8092 Cobblestone Road',Open
515E1000,124,"'1808 Fuller Road  - Suite G, Paint shop'",Open
515E1000,125,'2621 82nd Street',Open
515E1000,126,'8020 Garrison Road',Open
515E1000,127,'2544 Pine Circle',Open
515E1000,128,'2617 82nd Street',Open
515E1000,129,'2633 82nd Street',Open
515E1000,130,'2505 82nd Street',Open
515E1000,131,'2512 82nd Street',Open
515E1000,132,'2516 82nd Street',Open
515E1000,133,'2606 82nd Street',Open
515E1000,134,'2610 82nd Street',Open
515E1000,135,'2614 82nd Street',Open
515E1000,136,'2605 82nd Street',Open
515E1000,137,'8135 Rocklyn Drive',Open
515E1000,138,'8125 Rocklyn Drive',Open
515E1000,139,'8129 Rocklyn Drive',Open
515E1000,140,'8144 Rocklyn Drive',Open
515E1000,141,'8131 Rocklyn Drive',Open
